Designator	NozzleNum	StackNum	Mid X	Mid Y	Rotation	Height	Speed	Vision	Check	Explanation
C43	1/2	B18	163.35	-74.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C44	1/2	B18	163.35	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C45	1/2	B18	91.35	-66.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C46	1/2	B18	91.35	-74.475	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C47	1/2	B18	91.3	-82.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C48	1/2	B18	91.3	-90.35	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C49	1/2	B18	91.3	-98.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C5	1/2	B17	87.0	-132.950001	90.0	0.5	100	Accurate	Vision	0805 16 10uF X5R
C50	1/2	B18	91.3	-106.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C51	1/2	B18	91.3	-114.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C52	1/2	B18	171.35	-66.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C53	1/2	B18	171.35	-74.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C54	1/2	B18	171.35	-82.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C55	1/2	B18	171.35	-90.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C56	1/2	B18	171.35	-98.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C57	1/2	B18	171.35	-106.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C58	1/2	B18	171.35	-114.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C59	1/2	B18	99.35	-114.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C6	1/2	B16	92.2	-140.0	0.0	0.5	100	Accurate	Vision	0603 50V 1uF 0603
C60	1/2	B18	99.3	-106.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C61	1/2	B18	99.3	-98.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C62	1/2	B18	99.3	-90.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C63	1/2	B18	99.35	-82.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C64	1/2	B18	99.35	-74.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C65	1/2	B18	99.35	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C66	1/2	B18	179.35	-114.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C67	1/2	B18	179.35	-106.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C68	1/2	B18	179.35	-98.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C69	1/2	B18	179.35	-90.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C7	1/2	B18	166.28	-130.15	225.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C70	1/2	B18	179.35	-82.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C71	1/2	B18	179.35	-74.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C72	1/2	B18	179.35	-66.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C73	1/2	B18	107.3	-66.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C74	1/2	B18	107.3	-74.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C75	1/2	B18	107.3	-82.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C76	1/2	B18	107.3	-90.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C77	1/2	B18	107.3	-98.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C78	1/2	B18	107.35	-106.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C79	1/2	B18	107.35	-114.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C8	1/2	B18	81.1	-135.8	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C80	1/2	B18	187.35	-66.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C81	1/2	B18	187.35	-74.6	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C82	1/2	B18	187.35	-82.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C83	1/2	B18	187.35	-90.5	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C84	1/2	B18	187.35	-98.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C85	1/2	B18	187.35	-106.45	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C86	1/2	B18	187.35	-114.55	90.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C87	1/2	B18	115.3	-114.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C88	1/2	B18	115.3	-106.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C89	1/2	B18	115.3	-98.575	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C90	1/2	B18	115.3	-90.65	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C91	1/2	B18	115.3	-82.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C92	1/2	B18	115.3	-74.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C93	1/2	B18	115.3	-66.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C94	1/2	B18	195.35	-114.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C95	1/2	B18	195.35	-106.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C96	1/2	B18	195.35	-98.5	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C97	1/2	B18	195.35	-90.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C98	1/2	B18	195.35	-82.6	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
C99	1/2	B18	195.4	-74.55	270.0	0.5	100	Accurate	Vision	0603 100n 50V X7R 0603
D1	1/2	L16	86.7	-127.0	90.0	0.5	100	Accurate	Vision	0805 LED RED 0805
D10	1/2	L23	79.9	-114.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D100	1/2	L23	127.85	-66.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D101	1/2	L23	207.9	-114.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D102	1/2	L23	207.9	-106.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D103	1/2	L23	207.9	-98.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D104	1/2	L23	207.9	-90.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D105	1/2	L23	207.9	-82.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D106	1/2	L23	207.9	-74.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D107	1/2	L23	207.9	-66.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D108	1/2	L23	135.9	-66.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D109	1/2	L23	135.85	-74.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D11	1/2	L23	79.9	-106.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D110	1/2	L23	135.85	-82.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D111	1/2	L23	135.85	-90.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D112	1/2	L23	135.85	-98.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D113	1/2	L23	135.9	-106.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D114	1/2	L23	135.9	-114.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D115	1/2	L23	215.9	-66.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D116	1/2	L23	215.9	-74.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D117	1/2	L23	215.9	-82.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D118	1/2	L23	215.9	-90.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D119	1/2	L23	215.9	-98.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D12	1/2	L23	79.9	-98.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D120	1/2	L23	215.9	-106.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D121	1/2	L23	215.9	-114.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D122	1/2	L23	143.9	-114.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D123	1/2	L23	143.9	-106.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D124	1/2	L23	143.9	-98.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D125	1/2	L23	143.9	-90.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D126	1/2	L23	143.9	-82.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D127	1/2	L23	143.85	-74.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D128	1/2	L23	143.85	-66.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D129	1/2	L23	223.9	-114.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D13	1/2	L23	79.9	-90.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D130	1/2	L23	223.9	-106.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D131	1/2	L23	223.9	-98.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D132	1/2	L23	223.9	-90.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D133	1/2	L23	223.9	-82.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D134	1/2	L23	223.9	-74.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D135	1/2	L23	223.9	-66.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D136	1/2	L23	151.9	-66.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D137	1/2	L23	151.9	-74.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D138	1/2	L23	151.9	-82.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D139	1/2	L23	151.9	-90.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D14	1/2	L23	79.9	-82.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D140	1/2	L23	151.9	-98.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D141	1/2	L23	151.9	-106.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D142	1/2	L23	151.9	-114.5	270.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D15	1/2	L23	79.9	-74.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D150	1/2	L23	154.68	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D151	1/2	L23	142.6	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D152	1/2	L23	130.52	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D153	1/2	L23	118.44	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D154	1/2	L23	106.36	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D155	1/2	L23	94.28	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D156	1/2	L23	82.2	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D157	1/2	L23	215.08	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D158	1/2	L23	203.0	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D159	1/2	L23	190.92	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D16	1/2	L23	79.9	-66.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D160	1/2	L23	178.84	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D161	1/2	L23	166.76	-57.175	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D162	1/2	L15	111.0	-135.0	180.0	0.5	100	Accurate	Vision	SOT-23 ESD_SOT23_TPET24US3
D17	1/2	L23	159.9	-114.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D18	1/2	L23	159.9	-106.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D19	1/2	L23	159.9	-98.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D2	1/2	L22	85.4	-142.8	0.0	0.5	100	Accurate	Vision	D_SMA D_Schottky_3A_40V
D20	1/2	L23	159.9	-90.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
D21	1/2	L23	159.9	-82.5	90.0	0.5	100	Accurate	Vision	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm WS2812B
