Designator,Mid X,Mid Y,Rotation,Layer
TP1,136.186,-104.8,0.0,top
TP2,145.191,-104.822,180.0,bottom
TP3,140.676,-104.811,180.0,bottom
TP4,145.191,-104.822,0.0,top
TP5,140.676,-104.811,0.0,top
TP6,136.186,-104.8,180.0,bottom
